file,orig_bytes,webp_bytes,ratio
chanko-kirishima-ryogoku.png,392340,33148,0.084,kept
charizard.jpg,75049,69320,0.924,skipped_no_gain
corredorelegante.png,634600,87534,0.138,kept
custom-declaration.png,2388458,193880,0.081,kept
daiwa-roynet-fachada-real.png,583383,53756,0.092,kept
daiwa-roynet-fotohero.jpg,857388,123726,0.144,kept
daiwa-roynet-mapa-arredores.jpg,273198,72538,0.266,kept
daiwa-roynet-rota-karasuma-exit.jpg,569932,118998,0.209,kept
daiwa-roynet-rota-koseikai-hospital.jpg,773039,151546,0.196,kept
daiwa-roynet-rota-lawson.jpg,685616,131854,0.192,kept
daiwa-roynet-rota-matsumoto-kiyoshi.png,317332,62878,0.198,kept
dashboard.png,107896,51816,0.48,kept
dashboardback.png,256860,19758,0.077,kept
dashmobile-ajisai.jpg,162021,48366,0.299,kept
dashmobile.jpg,139681,62962,0.451,kept
day2-animate.png,933621,117734,0.126,kept
day2-mandarake-complex.png,836570,88564,0.106,kept
day2-radiokaikan.png,599990,64980,0.108,kept
day2-superpotato.png,775250,74508,0.096,kept
day2-surugaya.jpg,351086,207464,0.591,kept
day2-tamashii-nations.png,1389328,148490,0.107,kept
day2-yodobashi-akiba.png,936294,119674,0.128,kept
deba.png,2119479,92778,0.044,kept
dia1-manha-visao-geral-mapa.png,2599697,366796,0.141,kept
dia1-sensoji-visao-anotada-v2.png,2869353,247924,0.086,kept
dia1-sensoji-visao-anotada.png,3041347,305656,0.101,kept
dia1-sensoji.png,1405107,119662,0.085,kept
dia1-skytree-miniatura.png,28112,3372,0.12,kept
dia1-skytree-visao-anotada-v2.png,2335264,135202,0.058,kept
dia1-skytree-visao-anotada.png,2295821,120474,0.052,kept
dia1-skytree.png,513330,61698,0.12,kept
dia2-ginza.png,2273938,217600,0.096,kept
dia2-tokyostation.png,2157700,214650,0.099,kept
dia3-meijijingu.png,1255104,155526,0.124,kept
dia3-shibuyasky.png,2499254,244034,0.098,kept
dia4-roppongi.png,2623539,280728,0.107,kept
